 price_list ,Address,Type,City,Province,Postal Code,Number of Bedroom,Number of Bathroom,Square Ft
1398000,4986 Moss St,Single House, Vancouver,BC,V5R 3T4,5,4,1656
2188800,6522 Pinehurst Dr,Single House, Vancouver,BC,V5X 4P1,3,2,1801
729000,1316 W 11th Ave ,Apartment, Vancouver,BC,V6H 4G8,1,1,713
2788800,2767 W 36th Ave,Single House, Vancouver,BC,V6N 2P7,4,1.5,2189
798888,3627 Rae Ave,Single House, Vancouver,BC,V5R 2P6,2,2,822
1699900,4343 Windsor St,Single House, Vancouver,BC,V5V 4P6,3,2.5,1417
1599900,2915 Trinity St,Single House, Vancouver,BC,V5K 1G1,4,3,2229
4499900,475 W 64th Ave,Single House, Vancouver,BC,V5X 2M2,5,3,2108
1399000,1000 Beach Ave ,Apartment, Vancouver,BC,V6E 4M2,2,2,1367
1099000,1477 W Pender St ,Apartment, Vancouver,BC,V6G 2S3,1,1,817
1100000,888 W 16th Ave ,Apartment, Vancouver,BC,V5Z 1T1,2,2,1129
5688000,4526 Haggart St,Single House, Vancouver,BC,V6L 2H5,5,5.5,4105
1488000,3194 E 19th St,Single House, Vancouver,BC,V5M 2T1,3,2.5,1276
3180000,499 Drake St ,Apartment, Vancouver,BC,V6B 1B1,3,2,2054
1488000,3192 E 19th Ave,Single House, Vancouver,BC,V5M 2T1,3,2.5,1265
866000,2580 Tolmie St ,Apartment, Vancouver,BC,V6R 4R4,2,2,988
1399000,7433 Cambie St ,Apartment, Vancouver,BC,V6P 6E8,2,2,830
1408888,5221 Clarendon St,Single House, Vancouver,BC,V5R 3J7,5,2.5,2239
674900,445 W 2nd Ave ,Apartment, Vancouver,BC,V5Y 0E8,1,1,631
1128000,588 Broughton St ,Apartment, Vancouver,BC,V6G 3E3,2,2,942
1113000,555 Jervis St ,Apartment, Vancouver,BC,V6E 4N1,2,2,941
1628888,4177 Staulo Cres,Single House, Vancouver,BC,V6N 3S1,3,3,3339
769900,7418 Paulson St ,Apartment, Vancouver,BC,V6P 0K2,1,1,488
2498000,2407 Yew St,Single House, Vancouver,BC,V6K 3H3,4,2.5,1843
2180000,5059 St. Margarets St,Single House, Vancouver,BC,V5R 3H4,5,4.5,2318
678000,1330 Harwood St ,Apartment, Vancouver,BC,V6E 1S8,1,1,639
3588000,170 Athletes Way ,Apartment, Vancouver,BC,V5Y 0B5,2,2,1974
1199000,3284 E 54th Ave,Single House, Vancouver,BC,V5S 0A1,3,2.5,1310
1499000,2709 E 8th Ave,Single House, Vancouver,BC,V5M 1W7,3,3,1423
4388000,3346 W 10th Ave,Single House, Vancouver,BC,V6R 2E6,9,6,3539
3288000,3541 W 20th Ave,Single House, Vancouver,BC,V6S 1E6,4,2.5,2605
329900,1534 Harwood St ,Apartment, Vancouver,BC,V6G 1X9,1,1,540
2000000,1600 Howe St ,Apartment, Vancouver,BC,V6Z 2L9,2,2,1412
