price_list,address,home_stat,date_sold
"$3,900,000","1438 W 55th Ave, Vancouver, BC V6P 1R5","7 Beds3.5 Baths3,703 Sq. Ft.","SOLD JUN 30, 2022"
"$941,400","2258 E 7th Ave, Vancouver, BC V5N 1S7","5 Beds3.5 Baths2,629 Sq. Ft.","SOLD NOV 25, 2022"
"$701,000","909 Mainland St #1707, Vancouver, BC V6B 1S3",1 Bed1 Bath589 Sq. Ft.,"SOLD MAR 31, 2022"
"$800,000","350 E 2nd Ave #516, Vancouver, BC V5T 4R8",—Beds—Baths—Sq. Ft.,"SOLD NOV 25, 2022"
"$1,113,000","199 Drake St Unit 2C, Vancouver, BC V6Z 2Y8","2 Beds2 Baths1,192 Sq. Ft.","SOLD MAR 9, 2022"
"$1,600,000","4514 Nanaimo St, Vancouver, BC V5N 5J4","4 Beds4.5 Baths1,640 Sq. Ft.","SOLD NOV 7, 2022"
"$520,000","774 Great Northern Way #512, Vancouver, BC V5T 1E1",1 Bed1 Bath614 Sq. Ft.,"SOLD AUG 12, 2022"
"$1,680,000","3494 Franklin St, Vancouver, BC V5K 1Y3","2 Beds1 Bath2,104 Sq. Ft.","SOLD OCT 27, 2022"
"$1,160,000","2758 Dundas St, Vancouver, BC V5K 1R2","1 Bed1 Bath1,289 Sq. Ft.","SOLD MAY 30, 2022"
"$633,000","570 E 8th Ave #212, Vancouver, BC V5T 1S8",1 Bed1 Bath632 Sq. Ft.,"SOLD AUG 10, 2022"
"$1,017,000","1081 W 8th Ave #10, Vancouver, BC V6H 1C3",2 Beds1 Bath966 Sq. Ft.,"SOLD FEB 14, 2022"
"$2,350,000","2115 E 13th Ave, Vancouver, BC V5N 2C6","5 Beds2.5 Baths2,100 Sq. Ft.","SOLD APR 28, 2022"
"$800,000","1445 Marpole Ave #719, Vancouver, BC V6H 1S5",2 Beds1 Bath819 Sq. Ft.,"SOLD OCT 28, 2022"
"$1,925,000","1199 Seymour St #3301, Vancouver, BC V6B 1K3","2 Beds2 Baths1,238 Sq. Ft.","SOLD MAR 15, 2022"
"$529,200","989 Beatty St #302, Vancouver, BC V6Z 3C2",1 Bed1 Bath482 Sq. Ft.,"SOLD SEP 14, 2022"
"$1,185,000","1228 Marinaside Cres #2105, Vancouver, BC V6Z 2W4",2 Beds2 Baths964 Sq. Ft.,"SOLD MAY 2, 2022"
"$2,275,000","2826 Wall St, Vancouver, BC V5K 1B2",2 Beds1 Bath920 Sq. Ft.,"SOLD MAY 2, 2022"
"$750,000","1225 Richards St #1904, Vancouver, BC V6B 1E6",1 Bed1 Bath592 Sq. Ft.,"SOLD JUN 15, 2022"
"$1,630,000","2540 Triumph St, Vancouver, BC V5K 1S8","5 Beds2 Baths2,805 Sq. Ft.","SOLD MAY 31, 2022"
"$950,000","3611 W 18th Ave #403, Vancouver, BC V6S 1B3",2 Beds2 Baths788 Sq. Ft.,"SOLD FEB 24, 2022"
"$1,800,000","2630 Eton St, Vancouver, BC V5K 1K1","3 Beds1 Bath1,953 Sq. Ft.","SOLD JUL 20, 2022"
"$620,000","350 E 5th Ave #204, Vancouver, BC V5T 1H4",—Beds1 Bath454 Sq. Ft.,"SOLD JUN 29, 2022"
"$740,000","350 E 5th Ave #302, Vancouver, BC V5T 1H4",1 Bed1 Bath545 Sq. Ft.,"SOLD JUN 29, 2022"
"$550,000","588 E 5th Ave #345, Vancouver, BC V5T 4H6",1 Bed1 Bath673 Sq. Ft.,"SOLD MAY 9, 2022"
"$2,385,000","3907 Dunbar St, Vancouver, BC V6S 2E3","4 Beds2 Baths2,075 Sq. Ft.","SOLD FEB 15, 2022"
"$1,100,000","909 Burrard St #1205, Vancouver, BC V6Z 2N2","2 Beds2.5 Baths1,244 Sq. Ft.","SOLD APR 26, 2022"
"$885,000","501 Pacific St #204, Vancouver, BC V6Z 2X6",1 Bed1 Bath777 Sq. Ft.,"SOLD JUN 21, 2022"
"$3,600,000","426 Beach Cres #501, Vancouver, BC V6Z 3E9","2 Beds2.5 Baths1,837 Sq. Ft.","SOLD MAY 2, 2022"
"$3,425,000","1288 Marinaside Cres #711, Vancouver, BC V6Z 2W5","4 Beds4 Baths2,035 Sq. Ft.","SOLD JUL 7, 2022"
"$1,720,000","3510 William St, Vancouver, BC V5K 2Z7","5 Beds2 Baths1,500 Sq. Ft.","SOLD MAY 30, 2022"
"$1,900,000","1067 Marinaside Cres #602, Vancouver, BC V6Z 2Z5","3 Beds2 Baths1,286 Sq. Ft.","SOLD MAY 31, 2022"
"$1,050,000","72 E 15th Ave, Vancouver, BC V5T 2P4","2 Beds2.5 Baths1,214 Sq. Ft.","SOLD NOV 22, 2022"
"$950,000","838 W Hastings St #2103, Vancouver, BC V6C 0A6",2 Beds1 Bath802 Sq. Ft.,"SOLD APR 8, 2022"
"$4,000,000","2840 W 1st Ave, Vancouver, BC V6K 1H4","2 Beds2.5 Baths2,318 Sq. Ft.","SOLD MAR 15, 2022"
"$785,000","489 Interurban Wy #1402, Vancouver, BC V5X 0C7",2 Beds2 Baths795 Sq. Ft.,"SOLD APR 1, 2022"
"$1,860,000","2616 Napier St, Vancouver, BC V5K 2W6","4 Beds1.5 Baths2,107 Sq. Ft.","SOLD JUN 1, 2022"
"$471,000","688 E 56th Ave #205, Vancouver, BC V5X 3V6",1 Bed1 Bath645 Sq. Ft.,"SOLD FEB 18, 2022"
"$598,000","950 Drake St #914, Vancouver, BC V6Z 2B9",1 Bed1 Bath622 Sq. Ft.,"SOLD JUN 3, 2022"
"$1,218,000","2263 Redbud Lane #407, Vancouver, BC V6K 4V7",2 Beds2.5 Baths911 Sq. Ft.,"SOLD NOV 9, 2022"
"$4,995,000","4772 Narvaez Dr, Vancouver, BC V6L 2J2","3 Beds2.5 Baths3,078 Sq. Ft.","SOLD SEP 6, 2022"
"$1,635,000","488 E 16th Ave, Vancouver, BC V5T 2T9","5 Beds3 Baths1,866 Sq. Ft.","SOLD MAR 17, 2022"
"$490,000","2288 W Broadway #204, Vancouver, BC V6K 3L1",1 Bed1 Bath526 Sq. Ft.,"SOLD SEP 8, 2022"
"$2,650,000","1501 Howe St Unit T11, Vancouver, BC V6Z 2P8","4 Beds1.5 Baths1,942 Sq. Ft.","SOLD APR 29, 2022"
"$7,206,000","5941 Chancellor Blvd, Vancouver, BC V6T 1E6","4 Beds3.5 Baths4,691 Sq. Ft.","SOLD OCT 14, 2022"
"$11,900,000","4262 Carnarvon St, Vancouver, BC V6L 2S2","5 Beds4.5 Baths5,058 Sq. Ft.","SOLD JUL 13, 2022"
"$845,000","3083 W 4th Ave #211, Vancouver, BC V6K 1R5",2 Beds2.5 Baths821 Sq. Ft.,"SOLD NOV 21, 2022"
"$990,000","3083 W 4th Ave #107, Vancouver, BC V6K 1R5",2 Beds2.5 Baths859 Sq. Ft.,"SOLD MAY 30, 2022"
"$1,100,000","909 Burrard St #1703, Vancouver, BC V6Z 2N2","2 Beds2.5 Baths1,142 Sq. Ft.","SOLD FEB 15, 2022"
"$1,705,000","1066 E 54th Ave, Vancouver, BC V5X 1L7","5 Beds2.5 Baths2,364 Sq. Ft.","SOLD FEB 18, 2022"
"$2,080,000","1201 W 7th Ave, Vancouver, BC V6H 1B7","3 Beds2 Baths1,681 Sq. Ft.","SOLD MAR 29, 2022"
